message,label
You are eligible for income tax refund of Rs.35000. Claim at www.incometax-refund.fake,tax_scam
Rs.899 paid to Zomato. Order #987654. Payment via UPI successful,legitimate
You won Rs.5 Crore in KBC lottery! Contact immediately with your bank details,lottery_scam
Customer care calling: Please share OTP to help you with refund process,otp_request
Congratulations! WhatsApp lottery winner Rs.20 Lakh. Click www.whatsapp-lottery.fake,lottery_scam
You won Rs.5 Crore in KBC lottery! Contact immediately with your bank details,lottery_scam
Prize delivery requires verification. Send OTP and CVV to claim,otp_request
Delivery pending! Pay Rs.200 charges to receive your Amazon package,delivery_scam
Payment of Rs.799 to Amazon Pay successful. Order ID: 123-4567890-1234567,legitimate
You won Rs.5 Crore in KBC lottery! Contact immediately with your bank details,lottery_scam
Insurance premium of Rs.2400 paid successfully. Policy: LIC/12345678,legitimate
LUCKY WINNER ALERT! Rs.10 Lakhs prize. Send Rs.2000 processing fee to claim,lottery_scam
RBI regulation: Update KYC or face Rs.10000 penalty. Visit www.penalty-kyc.fake,fake_kyc
Action Required! Your account has been compromised. Click to secure: fakbank.com/secure,phishing
Rent payment of Rs.15000 to landlord successful via NEFT. Ref: N12345678,legitimate
Rs.3500 refund credited for cancelled order. Amazon Refund ID: RF123456,legitimate
Your verification code is 987654. Please share this to verify your identity,otp_request
Rs.300 paid to Uber via UPI. Trip ID: AB1234CD5678. Payment successful,legitimate
Your Flipkart order delivery requires Rs.99 fee. Pay now: www.flipkart-delivery.fake,delivery_scam
ITR refund Rs.25000 pending. Process at www.itr-process.fake with PAN details,tax_scam
Action Required! Your account has been compromised. Click to secure: fakbank.com/secure,phishing
DTDC Alert: Parcel stuck. Clear Rs.250 fee at www.dtdc-fake.com for delivery,delivery_scam
"Dear taxpayer, refund of Rs.12000 approved. Verify bank details at www.tax-refund.fake",tax_scam
Your bank KYC is not updated as per RBI guidelines. Update now: www.rbikyc.fake,fake_kyc
ITR refund Rs.25000 pending. Process at www.itr-process.fake with PAN details,tax_scam
Rs.200 donated to charity via UPI. Txn ID: 404567890123. Thank you!,legitimate
"Dear valued customer, KYC update pending. Click www.customer-kyc.fake to continue services",fake_kyc
"To reverse unauthorized transaction, provide your debit card PIN and OTP",otp_request
Enter your ATM PIN and OTP to receive cashback of Rs.500 in your account,otp_request
Received Rs.2000 from 8765432109. UPI Ref: 403456789012. Balance: Rs.12000,legitimate
"Dear customer, unusual activity detected. Verify your account: tiny.url/scam123",phishing
